"Geo Code","Geo Name","Line Number"
"2021S05075430202.00","5430202.00",418331
"2021S05075430203.00","5430203.00",420962
"2021S0503825","Calgary",423593
"2021S05078250001.01","8250001.01",426224
"2021S05078250001.02","8250001.02",428855
"2021S05078250001.03","8250001.03",431486
"2021S05078250001.04","8250001.04",434117
"2021S05078250001.05","8250001.05",436748
"2021S05078250001.06","8250001.06",439379
"2021S05078250001.07","8250001.07",442010
"2021S05078250001.08","8250001.08",444641
"2021S05078250001.09","8250001.09",447272
"2021S05078250001.10","8250001.10",449903
"2021S05078250001.11","8250001.11",452534
"2021S05078250001.13","8250001.13",455165
"2021S05078250001.14","8250001.14",457796
"2021S05078250001.17","8250001.17",460427
"2021S05078250001.22","8250001.22",463058
"2021S05078250001.23","8250001.23",465689
"2021S05078250001.25","8250001.25",468320
"2021S05078250001.28","8250001.28",470951
"2021S05078250001.29","8250001.29",473582
"2021S05078250001.30","8250001.30",476213
"2021S05078250001.32","8250001.32",478844
"2021S05078250001.33","8250001.33",481475
"2021S05078250001.35","8250001.35",484106
"2021S05078250001.37","8250001.37",486737
"2021S05078250001.38","8250001.38",489368
"2021S05078250001.39","8250001.39",491999
"2021S05078250001.40","8250001.40",494630
"2021S05078250001.41","8250001.41",497261
"2021S05078250001.42","8250001.42",499892
"2021S05078250001.43","8250001.43",502523
"2021S05078250001.44","8250001.44",505154
"2021S05078250001.45","8250001.45",507785
"2021S05078250001.46","8250001.46",510416
"2021S05078250001.47","8250001.47",513047
"2021S05078250001.48","8250001.48",515678
"2021S05078250001.49","8250001.49",518309
"2021S05078250001.50","8250001.50",520940
"2021S05078250002.02","8250002.02",523571
"2021S05078250002.04","8250002.04",526202
"2021S05078250002.06","8250002.06",528833
"2021S05078250002.07","8250002.07",531464
"2021S05078250002.08","8250002.08",534095
"2021S05078250002.09","8250002.09",536726
"2021S05078250002.10","8250002.10",539357
"2021S05078250002.11","8250002.11",541988
"2021S05078250002.12","8250002.12",544619
"2021S05078250002.14","8250002.14",547250
"2021S05078250002.15","8250002.15",549881
"2021S05078250002.17","8250002.17",552512
"2021S05078250002.18","8250002.18",555143
"2021S05078250002.22","8250002.22",557774
"2021S05078250002.24","8250002.24",560405
"2021S05078250002.25","8250002.25",563036
"2021S05078250002.26","8250002.26",565667
"2021S05078250002.27","8250002.27",568298
"2021S05078250002.28","8250002.28",570929
"2021S05078250002.29","8250002.29",573560
"2021S05078250002.30","8250002.30",576191
"2021S05078250002.31","8250002.31",578822
"2021S05078250002.32","8250002.32",581453
"2021S05078250002.33","8250002.33",584084
"2021S05078250002.34","8250002.34",586715
"2021S05078250002.35","8250002.35",589346
"2021S05078250002.36","8250002.36",591977
"2021S05078250002.37","8250002.37",594608
"2021S05078250002.38","8250002.38",597239
"2021S05078250002.39","8250002.39",599870
"2021S05078250002.40","8250002.40",602501
"2021S05078250003.00","8250003.00",605132
"2021S05078250004.00","8250004.00",607763
"2021S05078250005.00","8250005.00",610394
"2021S05078250006.00","8250006.00",613025
"2021S05078250007.01","8250007.01",615656
"2021S05078250007.02","8250007.02",618287
"2021S05078250007.03","8250007.03",620918
"2021S05078250007.05","8250007.05",623549
"2021S05078250007.06","8250007.06",626180
"2021S05078250007.07","8250007.07",628811
"2021S05078250008.00","8250008.00",631442
"2021S05078250009.00","8250009.00",634073
"2021S05078250010.00","8250010.00",636704
"2021S05078250011.00","8250011.00",639335
"2021S05078250012.00","8250012.00",641966
"2021S05078250013.00","8250013.00",644597
"2021S05078250014.00","8250014.00",647228
"2021S05078250015.00","8250015.00",649859
"2021S05078250016.00","8250016.00",652490
"2021S05078250017.01","8250017.01",655121
"2021S05078250017.03","8250017.03",657752
"2021S05078250017.04","8250017.04",660383
"2021S05078250017.05","8250017.05",663014
"2021S05078250017.06","8250017.06",665645
"2021S05078250018.01","8250018.01",668276
"2021S05078250018.02","8250018.02",670907
"2021S05078250019.00","8250019.00",673538
"2021S05078250020.00","8250020.00",676169
"2021S05078250021.01","8250021.01",678800
"2021S05078250021.02","8250021.02",681431
"2021S05078250022.01","8250022.01",684062
"2021S05078250022.02","8250022.02",686693
"2021S05078250023.00","8250023.00",689324
"2021S05078250024.00","8250024.00",691955
"2021S05078250025.00","8250025.00",694586
"2021S05078250026.00","8250026.00",697217
"2021S05078250027.01","8250027.01",699848
"2021S05078250027.02","8250027.02",702479
"2021S05078250027.03","8250027.03",705110
"2021S05078250028.00","8250028.00",707741
"2021S05078250029.00","8250029.00",710372
"2021S05078250030.00","8250030.00",713003
"2021S05078250031.01","8250031.01",715634
"2021S05078250031.02","8250031.02",718265
"2021S05078250032.00","8250032.00",720896
"2021S05078250033.01","8250033.01",723527
"2021S05078250033.02","8250033.02",726158
"2021S05078250034.00","8250034.00",728789
"2021S05078250035.01","8250035.01",731420
"2021S05078250035.02","8250035.02",734051
"2021S05078250036.01","8250036.01",736682
"2021S05078250036.02","8250036.02",739313
"2021S05078250037.00","8250037.00",741944
"2021S05078250038.02","8250038.02",744575
"2021S05078250038.03","8250038.03",747206
"2021S05078250038.04","8250038.04",749837
"2021S05078250038.05","8250038.05",752468
"2021S05078250038.06","8250038.06",755099
"2021S05078250038.07","8250038.07",757730
"2021S05078250038.08","8250038.08",760361
"2021S05078250038.10","8250038.10",762992
"2021S05078250038.11","8250038.11",765623
"2021S05078250038.12","8250038.12",768254
"2021S05078250038.13","8250038.13",770885
"2021S05078250038.14","8250038.14",773516
"2021S05078250038.15","8250038.15",776147
"2021S05078250038.17","8250038.17",778778
"2021S05078250038.18","8250038.18",781409
"2021S05078250038.20","8250038.20",784040
"2021S05078250038.21","8250038.21",786671
"2021S05078250038.22","8250038.22",789302
"2021S05078250038.23","8250038.23",791933
"2021S05078250038.24","8250038.24",794564
"2021S05078250038.25","8250038.25",797195
"2021S05078250038.27","8250038.27",799826
"2021S05078250038.28","8250038.28",802457
"2021S05078250038.30","8250038.30",805088
"2021S05078250038.35","8250038.35",807719
"2021S05078250038.36","8250038.36",810350
"2021S05078250038.37","8250038.37",812981
"2021S05078250038.38","8250038.38",815612
"2021S05078250038.39","8250038.39",818243
"2021S05078250038.40","8250038.40",820874
"2021S05078250038.41","8250038.41",823505
"2021S05078250038.42","8250038.42",826136
"2021S05078250038.43","8250038.43",828767
"2021S05078250038.44","8250038.44",831398
"2021S05078250038.45","8250038.45",834029
"2021S05078250038.46","8250038.46",836660
"2021S05078250038.47","8250038.47",839291
"2021S05078250038.48","8250038.48",841922
"2021S05078250038.49","8250038.49",844553
"2021S05078250039.00","8250039.00",847184
"2021S05078250040.00","8250040.00",849815
"2021S05078250041.00","8250041.00",852446
"2021S05078250042.01","8250042.01",855077
"2021S05078250042.02","8250042.02",857708
"2021S05078250043.00","8250043.00",860339
"2021S05078250044.00","8250044.00",862970
"2021S05078250045.01","8250045.01",865601
"2021S05078250045.02","8250045.02",868232
"2021S05078250046.01","8250046.01",870863
"2021S05078250046.02","8250046.02",873494
"2021S05078250047.00","8250047.00",876125
"2021S05078250048.00","8250048.00",878756
"2021S05078250049.01","8250049.01",881387
"2021S05078250049.04","8250049.04",884018
"2021S05078250049.05","8250049.05",886649
"2021S05078250049.06","8250049.06",889280
"2021S05078250049.07","8250049.07",891911
"2021S05078250050.01","8250050.01",894542
"2021S05078250050.07","8250050.07",897173
"2021S05078250050.10","8250050.10",899804
"2021S05078250050.12","8250050.12",902435
"2021S05078250050.13","8250050.13",905066
"2021S05078250050.14","8250050.14",907697
"2021S05078250050.15","8250050.15",910328
"2021S05078250050.16","8250050.16",912959
"2021S05078250050.17","8250050.17",915590
"2021S05078250050.18","8250050.18",918221
"2021S05078250050.19","8250050.19",920852
"2021S05078250050.20","8250050.20",923483
"2021S05078250050.21","8250050.21",926114
"2021S05078250050.22","8250050.22",928745
"2021S05078250051.00","8250051.00",931376
"2021S05078250052.01","8250052.01",934007
"2021S05078250052.02","8250052.02",936638
"2021S05078250052.03","8250052.03",939269
"2021S05078250052.04","8250052.04",941900
"2021S05078250052.06","8250052.06",944531
"2021S05078250052.07","8250052.07",947162
"2021S05078250052.09","8250052.09",949793
"2021S05078250052.10","8250052.10",952424
"2021S05078250052.11","8250052.11",955055
"2021S05078250052.12","8250052.12",957686
"2021S05078250053.00","8250053.00",960317
"2021S05078250054.00","8250054.00",962948
"2021S05078250055.00","8250055.00",965579
"2021S05078250056.00","8250056.00",968210
"2021S05078250057.00","8250057.00",970841
"2021S05078250058.00","8250058.00",973472
"2021S05078250059.00","8250059.00",976103
"2021S05078250060.00","8250060.00",978734
"2021S05078250061.00","8250061.00",981365
"2021S05078250062.00","8250062.00",983996
"2021S05078250063.00","8250063.00",986627
"2021S05078250064.00","8250064.00",989258
"2021S05078250065.00","8250065.00",991889
"2021S05078250066.02","8250066.02",994520
"2021S05078250066.03","8250066.03",997151
"2021S05078250066.04","8250066.04",999782
"2021S05078250067.00","8250067.00",1002413
"2021S05078250068.00","8250068.00",1005044
"2021S05078250069.00","8250069.00",1007675
"2021S05078250070.00","8250070.00",1010306
"2021S05078250071.00","8250071.00",1012937
"2021S05078250072.00","8250072.00",1015568
"2021S05078250073.00","8250073.00",1018199
"2021S05078250074.00","8250074.00",1020830
"2021S05078250075.01","8250075.01",1023461
"2021S05078250075.02","8250075.02",1026092
"2021S05078250076.01","8250076.01",1028723
"2021S05078250076.02","8250076.02",1031354
"2021S05078250076.03","8250076.03",1033985
"2021S05078250076.04","8250076.04",1036616
"2021S05078250076.05","8250076.05",1039247
"2021S05078250076.06","8250076.06",1041878
"2021S05078250076.09","8250076.09",1044509
"2021S05078250076.13","8250076.13",1047140
"2021S05078250076.14","8250076.14",1049771
"2021S05078250076.15","8250076.15",1052402
"2021S05078250076.19","8250076.19",1055033
"2021S05078250076.20","8250076.20",1057664
"2021S05078250076.23","8250076.23",1060295
"2021S05078250076.24","8250076.24",1062926
"2021S05078250076.25","8250076.25",1065557
"2021S05078250076.26","8250076.26",1068188
"2021S05078250076.27","8250076.27",1070819
"2021S05078250076.28","8250076.28",1073450
"2021S05078250076.29","8250076.29",1076081
"2021S05078250076.30","8250076.30",1078712
"2021S05078250076.31","8250076.31",1081343
"2021S05078250076.32","8250076.32",1083974
"2021S05078250076.33","8250076.33",1086605
"2021S05078250076.34","8250076.34",1089236
"2021S05078250076.35","8250076.35",1091867
